time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1569852000,24947,38.0,null,79.0,null,1003.489,null,2.795,null,2.795,null
1569826800,24947,38.0,null,80.0,null,1009.215,null,11.917,null,11.917,null
1569812400,24947,38.0,null,81.934,null,1009.496,null,17.017,null,17.017,null
1569808800,24947,38.0,null,82.0,null,1009.264,null,22.223,null,22.229,null
1569823200,24947,38.067,null,80.966,null,1009.218,null,13.302,null,13.302,null
1569816000,24947,38.0,null,81.0,null,1009.687,null,12.92,null,12.92,null
1569848400,24947,38.0,null,79.0,null,1004.928,null,3.292,null,3.292,null
1569844800,24947,38.166,null,79.0,null,1006.18,null,4.172,null,4.172,null
1569805200,24947,38.0,null,82.334,null,1009.139,null,28.09,null,28.547,null
1569834000,24947,38.0,null,80.0,null,1008.716,null,7.504,null,7.504,null
1569841200,24947,38.267,null,79.0,null,1007.361,null,4.947,null,4.947,null
1569855600,24947,38.3,null,79.0,null,1001.683,null,3.118,null,3.118,null
1569819600,24947,38.0,null,81.0,null,1009.457,null,9.915,null,9.915,null
1569801600,24947,38.0,null,83.0,null,1009.196,null,33.733,null,36.728,null
1569837600,24947,38.0,null,79.034,null,1008.255,null,5.957,null,5.957,null
1569830400,24947,38.0,null,80.0,null,1009.091,null,9.529,null,9.529,null
1568660400,24947,38.834,null,81.0,null,1025.493,null,5.362,null,5.362,null
1568664000,24947,38.1,null,81.0,null,1025.682,null,5.722,null,5.722,null
1568649600,24947,45.959,null,74.459,null,1024.717,null,21.976,null,22.052,null
1568656800,24947,40.133,null,80.434,null,1025.3,null,4.656,null,4.656,null
1568671200,24947,39.0,null,80.434,null,1026.495,null,5.387,null,5.387,null
1568653200,24947,41.492,null,78.709,null,1024.828,null,4.585,null,4.635,null
1568674800,24947,39.0,null,80.0,null,1026.578,null,5.093,null,5.093,null
1568667600,24947,39.0,null,81.0,null,1026.091,null,5.925,null,5.925,null
1569124800,24947,37.0,null,82.0,null,999.167,null,4.706,null,4.706,null
1569146400,24947,39.0,null,84.0,null,999.426,null,10.939,null,10.939,null
1569178800,24947,38.166,null,83.834,null,999.876,null,81.574,null,122.411,null
1569175200,24947,38.4,null,83.767,null,999.418,null,2.49,null,2.49,null
1569139200,24947,38.067,null,83.534,null,998.924,null,3.587,null,3.587,null
1569142800,24947,39.0,null,84.0,null,999.199,null,8.466,null,8.468,null
1569160800,24947,38.733,null,84.3,null,999.269,null,4.308,null,4.308,null
1569150000,24947,39.0,null,84.0,null,999.363,null,6.663,null,6.663,null
1569164400,24947,38.466,null,84.3,null,999.281,null,3.497,null,3.497,null
1569121200,24947,37.034,null,82.8,null,999.918,null,5.061,null,5.061,null
1569117600,24947,37.0,null,83.0,null,1000.486,null,5.442,null,5.442,null
1569132000,24947,38.0,null,82.0,null,998.471,null,5.011,null,5.011,null
1569189600,24947,38.0,null,83.334,null,1002.445,null,39.857,null,47.687,null
1569128400,24947,37.916,null,82.0,null,998.676,null,4.786,null,4.786,null
1569171600,24947,38.3,null,84.0,null,999.217,null,2.206,null,2.206,null
1569182400,24947,38.034,null,84.867,null,1000.548,null,61.492,null,93.331,null
1569168000,24947,38.541,null,84.0,null,999.306,null,2.883,null,2.883,null
1569193200,24947,38.0,null,83.0,null,1002.973,null,33.49,null,36.386,null
1569186000,24947,38.0,null,84.0,null,1001.316,null,47.728,null,65.996,null
1569153600,24947,39.0,null,84.0,null,999.276,null,5.534,null,5.534,null
1569157200,24947,39.0,null,84.0,null,999.325,null,5.107,null,5.107,null
1569110400,24947,37.0,null,83.0,null,1001.17,null,5.377,null,5.377,null
1569114000,24947,37.0,null,83.0,null,1000.876,null,5.51,null,5.51,null
1569135600,24947,38.0,null,83.0,null,998.966,null,4.636,null,4.636,null
1568682000,24947,39.0,null,79.3,null,1026.688,null,4.614,null,4.614,null
1568757600,24947,37.733,null,82.466,null,1029.661,null,5.646,null,5.646,null
1568710800,24947,39.0,null,79.466,null,1028.626,null,8.434,null,8.433,null
1568746800,24947,38.0,null,84.0,null,1028.993,null,2.283,null,2.283,null
1568718000,24947,39.0,null,80.9,null,1028.722,null,4.482,null,4.482,null
1568700000,24947,38.333,null,78.0,null,1027.67,null,11.684,null,11.684,null
1568743200,24947,37.867,null,84.0,null,1028.369,null,2.075,null,2.075,null
1568714400,24947,39.0,null,80.0,null,1028.82,null,6.253,null,6.253,null
1568754000,24947,38.0,null,83.0,null,1029.535,null,3.131,null,3.131,null
1568725200,24947,38.7,null,81.566,null,1028.711,null,2.985,null,2.985,null
1568750400,24947,38.0,null,83.334,null,1029.327,null,2.929,null,2.929,null
1568678400,24947,39.0,null,80.0,null,1026.626,null,4.638,null,4.638,null
1568761200,24947,37.633,null,82.0,null,1029.822,null,7.766,null,7.766,null
1568703600,24947,38.0,null,78.1,null,1028.07,null,14.293,null,14.289,null
1568739600,24947,37.034,null,84.0,null,1028.198,null,1.131,null,1.131,null
1568685600,24947,39.0,null,79.0,null,1026.524,null,4.22,null,4.22,null
1568692800,24947,39.0,null,79.0,null,1026.853,null,3.21,null,3.21,null
1568707200,24947,38.666,null,79.0,null,1028.502,null,11.527,null,11.527,null
1568732400,24947,37.834,null,82.233,null,1028.403,null,1.644,null,1.644,null
1568736000,24947,37.067,null,83.166,null,1028.24,null,1.48,null,1.48,null
1568728800,24947,38.0,null,82.0,null,1028.664,null,2.302,null,2.302,null
1568696400,24947,38.966,null,78.0,null,1027.16,null,3.016,null,3.016,null
1568689200,24947,39.0,null,79.0,null,1026.67,null,3.789,null,3.789,null
1568721600,24947,39.0,null,81.0,null,1028.568,null,3.588,null,3.588,null
1568908800,24947,35.433,null,84.767,null,1029.613,null,2.657,null,2.657,null
1568872800,24947,36.034,null,79.066,null,1030.984,null,14.509,null,14.509,null
1568919600,24947,36.0,null,84.066,null,1029.345,null,2.533,null,2.533,null
1568894400,24947,36.0,null,82.0,null,1031.071,null,4.634,null,4.634,null
1568854800,24947,35.0,null,81.0,null,1031.019,null,4.991,null,4.991,null
1568869200,24947,35.666,null,79.0,null,1030.804,null,11.607,null,11.607,null
1568930400,24947,36.933,null,83.733,null,1028.945,null,3.188,null,3.188,null
1568890800,24947,36.0,null,81.867,null,1031.482,null,5.724,null,5.724,null
1568912400,24947,35.933,null,85.0,null,1029.379,null,2.685,null,2.685,null
1568883600,24947,36.0,null,80.834,null,1031.594,null,8.361,null,8.361,null
1568926800,24947,36.0,null,84.334,null,1029.197,null,3.494,null,3.494,null
1568862000,24947,35.0,null,80.0,null,1030.767,null,4.038,null,4.038,null
1568887200,24947,36.0,null,81.0,null,1031.643,null,7.12,null,7.12,null
1568898000,24947,36.0,null,82.267,null,1030.666,null,4.043,null,4.043,null
1568876400,24947,36.0,null,80.0,null,1031.315,null,12.109,null,12.109,null
1568880000,24947,36.0,null,80.0,null,1031.537,null,9.881,null,9.881,null
1568865600,24947,35.0,null,79.3,null,1030.834,null,3.666,null,3.666,null
1568923200,24947,35.75,null,84.133,null,1029.307,null,3.889,null,3.889,null
1568934000,24947,36.959,null,83.0,null,1028.454,null,3.29,null,3.29,null
1568901600,24947,36.0,null,83.0,null,1030.33,null,3.256,null,3.256,null
1568916000,24947,36.0,null,85.0,null,1029.262,null,2.792,null,2.792,null
1568858400,24947,35.0,null,80.3,null,1030.772,null,4.541,null,4.541,null
1568851200,24947,35.0,null,81.267,null,1031.126,null,5.608,null,5.608,null
1568905200,24947,35.966,null,83.966,null,1029.878,null,2.8,null,2.8,null
1569376800,24947,39.0,null,82.0,null,996.02,null,2.314,null,2.314,null
1569420000,24947,39.0,null,82.4,null,998.232,null,4.52,null,4.52,null
1569380400,24947,39.0,null,82.0,null,996.342,null,2.028,null,2.028,null
1569398400,24947,39.0,null,81.0,null,998.085,null,12.009,null,12.009,null
1569391200,24947,39.1,null,81.0,null,997.313,null,4.792,null,4.792,null
1569448800,24947,40.0,null,82.434,null,994.418,null,2.01,null,2.01,null
1569405600,24947,39.0,null,81.0,null,998.605,null,10.04,null,10.04,null
1569430800,24947,39.0,null,83.0,null,996.8,null,2.76,null,2.76,null
1569416400,24947,39.6,null,82.0,null,998.449,null,5.415,null,5.415,null
1569412800,24947,39.433,null,81.767,null,998.518,null,6.665,null,6.665,null
1569394800,24947,39.166,null,81.0,null,997.623,null,13.204,null,13.204,null
1569369600,24947,39.0,null,82.6,null,995.504,null,3.347,null,3.347,null
1569434400,24947,39.0,null,83.0,null,996.402,null,2.265,null,2.265,null
1569387600,24947,39.0,null,81.0,null,997.122,null,1.97,null,1.97,null
1569445200,24947,40.0,null,83.0,null,994.41,null,2.221,null,2.221,null
1569423600,24947,39.0,null,83.0,null,997.603,null,3.751,null,3.751,null
1569373200,24947,39.0,null,82.0,null,995.732,null,3.016,null,3.016,null
1569384000,24947,39.0,null,81.367,null,996.733,null,1.835,null,1.835,null
1569402000,24947,39.0,null,81.0,null,998.351,null,11.055,null,11.055,null
1569409200,24947,39.1,null,81.0,null,998.728,null,8.262,null,8.262,null
1569427200,24947,39.466,null,83.0,null,997.319,null,2.862,null,2.862,null
1569438000,24947,39.0,null,83.0,null,995.616,null,2.237,null,2.237,null
1569441600,24947,39.433,null,83.0,null,994.83,null,2.339,null,2.339,null
1569452400,24947,40.0,null,82.0,null,994.346,null,1.74,null,1.74,null
1569067200,24947,35.334,null,84.0,null,1006.409,null,4.505,null,4.505,null
1569099600,24947,37.0,null,84.166,null,1002.44,null,6.037,null,6.037,null
1569096000,24947,37.0,null,85.0,null,1002.827,null,6.965,null,6.965,null
1569024000,24947,37.0,null,83.0,null,1012.598,null,3.959,null,3.959,null
1569074400,24947,35.267,null,84.767,null,1005.138,null,3.463,null,3.463,null
1569049200,24947,37.0,null,82.3,null,1008.397,null,1.808,null,1.808,null
1569085200,24947,36.0,null,84.0,null,1003.688,null,5.191,null,5.191,null
1569070800,24947,35.666,null,84.0,null,1005.68,null,3.561,null,3.561,null
1569092400,24947,36.834,null,84.1,null,1003.144,null,7.43,null,7.43,null
1569063600,24947,36.733,null,84.0,null,1006.215,null,4.232,null,4.232,null
1569038400,24947,37.0,null,82.0,null,1010.013,null,1.881,null,1.881,null
1569060000,24947,37.0,null,83.267,null,1006.952,null,4.653,null,4.653,null
1569078000,24947,35.966,null,84.966,null,1004.397,null,3.302,null,3.302,null
1569052800,24947,37.0,null,82.934,null,1007.937,null,2.323,null,2.323,null
1569034800,24947,37.0,null,82.0,null,1010.745,null,2.059,null,2.059,null
1569106800,24947,37.0,null,83.066,null,1001.605,null,5.525,null,5.525,null
1569045600,24947,37.0,null,81.5,null,1008.842,null,1.968,null,1.968,null
1569056400,24947,36.433,null,83.0,null,1007.518,null,4.588,null,4.588,null
1569088800,24947,36.0,null,84.0,null,1003.278,null,5.809,null,5.809,null
1569027600,24947,37.0,null,83.0,null,1012.093,null,2.905,null,2.905,null
1569103200,24947,37.0,null,84.0,null,1002.132,null,5.361,null,5.361,null
1569081600,24947,36.0,null,84.034,null,1003.858,null,3.401,null,3.401,null
1569042000,24947,36.933,null,81.666,null,1009.322,null,1.823,null,1.823,null
1569031200,24947,37.0,null,82.367,null,1011.413,null,2.56,null,2.56,null
1569272400,24947,39.1,null,82.633,null,998.332,null,30.559,null,31.709,null
1569265200,24947,38.534,null,82.533,null,997.986,null,60.53,null,90.332,null
1569254400,24947,39.0,null,81.3,null,998.13,null,51.814,null,77.246,null
1569225600,24947,38.666,null,81.0,null,1004.553,null,11.084,null,11.084,null
1569276000,24947,39.0,null,82.0,null,998.092,null,24.559,null,24.599,null
1569218400,24947,38.459,null,81.0,null,1004.593,null,8.011,null,8.011,null
1569204000,24947,38.0,null,82.0,null,1004.08,null,16.123,null,16.123,null
1569207600,24947,38.0,null,82.0,null,1004.432,null,12.389,null,12.389,null
1569243600,24947,39.0,null,81.0,null,1001.084,null,3.019,null,3.019,null
1569261600,24947,39.0,null,82.0,null,997.638,null,91.612,null,138.564,null
1569214800,24947,38.433,null,81.0,null,1004.389,null,8.529,null,8.529,null
1569229200,24947,39.0,null,81.0,null,1004.143,null,8.719,null,8.719,null
1569247200,24947,39.0,null,81.0,null,1000.122,null,2.116,null,2.116,null
1569196800,24947,38.0,null,82.7,null,1003.248,null,27.663,null,27.955,null
1569240000,24947,39.0,null,81.0,null,1001.789,null,3.647,null,3.647,null
1569268800,24947,38.9,null,82.3,null,998.204,null,38.111,null,44.448,null
1569222000,24947,38.0,null,81.0,null,1004.74,null,10.184,null,10.184,null
1569250800,24947,39.0,null,81.0,null,999.078,null,1.721,null,1.721,null
1569200400,24947,38.0,null,82.0,null,1003.638,null,21.038,null,21.038,null
1569232800,24947,39.0,null,81.5,null,1003.486,null,6.57,null,6.57,null
1569279600,24947,39.0,null,81.334,null,997.814,null,20.021,null,20.021,null
1569236400,24947,39.0,null,81.7,null,1002.621,null,4.98,null,4.98,null
1569258000,24947,39.0,null,82.0,null,997.423,null,119.532,null,180.45,null
1569211200,24947,38.0,null,81.233,null,1004.551,null,10.122,null,10.122,null
1568811600,24947,37.0,null,82.0,null,1030.635,null,3.542,null,3.542,null
1568840400,24947,36.6,null,83.934,null,1031.22,null,9.759,null,9.759,null
1568764800,24947,38.0,null,81.3,null,1029.694,null,8.083,null,8.083,null
1568829600,24947,36.0,null,84.0,null,1030.175,null,6.954,null,6.954,null
1568836800,24947,36.166,null,83.8,null,1030.944,null,14.728,null,14.728,null
1568815200,24947,37.0,null,82.633,null,1030.395,null,2.971,null,2.971,null
1568826000,24947,35.2,null,84.0,null,1029.882,null,8.466,null,8.466,null
1568772000,24947,38.0,null,80.334,null,1029.623,null,7.761,null,7.761,null
