time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1571108400,24947,35.0,null,78.0,null,1001.693,null,3.961,null,3.961,null
1571148000,24947,32.633,null,89.0,null,999.658,null,15.475,null,15.475,null
1571122800,24947,37.0,null,77.209,null,1001.428,null,26.255,null,27.172,null
1571151600,24947,32.867,null,89.0,null,999.036,null,14.394,null,14.394,null
1571176800,24947,33.5,null,86.534,null,995.351,null,4.015,null,4.015,null
1571173200,24947,33.2,null,87.834,null,996.101,null,5.462,null,5.462,null
1571137200,24947,34.466,null,84.767,null,1000.563,null,12.236,null,12.236,null
1571097600,24947,35.0,null,80.0,null,1002.605,null,5.373,null,5.373,null
1571119200,24947,36.267,null,77.0,null,1001.335,null,14.436,null,14.436,null
1571115600,24947,36.0,null,77.0,null,1001.701,null,6.261,null,6.261,null
1571180400,24947,34.0,null,85.367,null,994.657,null,2.888,null,2.888,null
1571133600,24947,35.0,null,82.15,null,1000.889,null,15.11,null,15.11,null
1571130000,24947,35.767,null,81.4,null,1001.451,null,19.901,null,19.901,null
1571158800,24947,32.0,null,90.0,null,998.538,null,10.767,null,10.767,null
1571104800,24947,35.0,null,78.625,null,1001.876,null,4.572,null,4.572,null
1571169600,24947,32.5,null,88.633,null,996.749,null,7.745,null,7.745,null
1571101200,24947,35.0,null,79.267,null,1002.236,null,5.391,null,5.391,null
1571155200,24947,32.0,null,89.934,null,998.761,null,14.194,null,14.194,null
1571140800,24947,33.133,null,87.566,null,1000.146,null,16.95,null,16.95,null
1571162400,24947,32.966,null,90.0,null,998.287,null,8.629,null,8.629,null
1571126400,24947,37.0,null,78.6,null,1001.412,null,28.883,null,29.52,null
1571144400,24947,32.133,null,88.834,null,999.973,null,17.242,null,17.242,null
1571112000,24947,36.0,null,77.166,null,1001.821,null,3.281,null,3.281,null
1571166000,24947,32.367,null,89.5,null,997.489,null,9.184,null,9.184,null
1572148800,24947,37.0,null,78.233,null,1021.231,null,1.753,null,1.753,null
1572170400,24947,37.166,null,75.0,null,1025.113,null,15.836,null,15.836,null
1572166800,24947,36.933,null,74.4,null,1024.72,null,12.348,null,12.348,null
1572156000,24947,37.0,null,77.0,null,1022.854,null,1.133,null,1.133,null
1572145200,24947,37.0,null,79.2,null,1020.837,null,2.267,null,2.267,null
1572163200,24947,36.167,null,73.867,null,1024.216,null,1.455,null,1.455,null
1572152400,24947,37.0,null,77.4,null,1022.028,null,1.513,null,1.513,null
1572159600,24947,35.233,null,75.133,null,1023.87,null,1.257,null,1.257,null
1572141600,24947,37.0,null,80.2,null,1020.343,null,2.7,null,2.7,null
1572134400,24947,36.966,null,82.7,null,1018.846,null,3.897,null,3.896,null
1572138000,24947,37.0,null,81.4,null,1019.903,null,3.157,null,3.157,null
1571558400,24947,38.067,null,80.0,null,1016.013,null,17.846,null,17.846,null
1571551200,24947,39.0,null,81.0,null,1014.254,null,8.432,null,8.432,null
1571576400,24947,38.367,null,80.867,null,1018.229,null,12.817,null,12.817,null
1571562000,24947,38.8,null,80.767,null,1016.639,null,15.345,null,15.345,null
1571605200,24947,30.566,null,87.133,null,1022.438,null,24.282,null,24.322,null
1571544000,24947,39.0,null,82.0,null,1012.692,null,12.488,null,12.488,null
1571583600,24947,39.0,null,84.867,null,1019.198,null,15.55,null,15.55,null
1571598000,24947,34.767,null,90.334,null,1021.795,null,15.526,null,15.526,null
1571572800,24947,38.0,null,80.2,null,1017.899,null,12.514,null,12.514,null
1571608800,24947,32.5,null,83.667,null,1023.003,null,16.2,null,16.2,null
1571590800,24947,33.3,null,84.4,null,1020.591,null,25.517,null,29.149,null
1571529600,24947,37.791,null,85.7,null,1010.514,null,27.448,null,27.677,null
1571536800,24947,38.0,null,83.666,null,1011.452,null,18.871,null,18.871,null
1571554800,24947,37.7,null,80.133,null,1015.115,null,17.457,null,17.457,null
1571601600,24947,33.534,null,90.9,null,1022.16,null,15.893,null,16.055,null
1571569200,24947,38.067,null,80.0,null,1017.572,null,14.751,null,14.751,null
1571540400,24947,38.867,null,82.8,null,1012.011,null,15.193,null,15.193,null
1571587200,24947,32.9,null,84.367,null,1019.91,null,12.843,null,12.907,null
1571547600,24947,39.0,null,81.034,null,1013.467,null,10.09,null,10.09,null
1571533200,24947,38.0,null,84.633,null,1011.087,null,22.302,null,22.302,null
1571565600,24947,38.466,null,80.633,null,1017.269,null,18.76,null,18.76,null
1571594400,24947,34.933,null,87.434,null,1021.399,null,30.591,null,33.736,null
1571580000,24947,39.0,null,82.633,null,1018.612,null,17.034,null,17.141,null
1571612400,24947,33.0,null,81.966,null,1023.346,null,12.485,null,12.485,null
1572091200,24947,36.0,null,77.7,null,1009.09,null,19.55,null,19.55,null
1572058800,24947,33.625,null,77.767,null,1006.627,null,9.604,null,9.604,null
1572076800,24947,37.0,null,77.0,null,1007.445,null,6.232,null,6.232,null
1572102000,24947,35.767,null,82.233,null,1010.398,null,13.881,null,13.881,null
1572109200,24947,37.034,null,83.534,null,1012.511,null,7.349,null,7.349,null
1572120000,24947,37.433,null,87.8,null,1015.707,null,9.233,null,9.233,null
1572080400,24947,36.867,null,77.0,null,1008.042,null,15.47,null,17.652,null
1572066000,24947,35.0,null,76.0,null,1006.609,null,9.886,null,9.886,null
1572116400,24947,38.0,null,87.534,null,1014.76,null,11.956,null,11.956,null
1572094800,24947,36.067,null,78.066,null,1009.503,null,23.255,null,23.451,null
1572123600,24947,37.0,null,86.934,null,1016.676,null,8.687,null,8.687,null
1572048000,24947,35.334,null,86.867,null,1006.645,null,9.896,null,9.896,null
1572098400,24947,36.767,null,80.133,null,1010.039,null,23.023,null,23.059,null
1572112800,24947,37.933,null,85.633,null,1013.813,null,12.031,null,12.031,null
1572130800,24947,36.933,null,84.466,null,1017.922,null,4.912,null,4.912,null
1572062400,24947,34.2,null,76.666,null,1006.598,null,10.572,null,10.572,null
1572073200,24947,37.0,null,76.566,null,1007.177,null,6.95,null,6.95,null
1572069600,24947,35.867,null,76.0,null,1006.602,null,8.348,null,8.348,null
1572084000,24947,36.2,null,77.0,null,1008.521,null,37.992,null,44.331,null
1572127200,24947,37.0,null,85.8,null,1017.304,null,6.618,null,6.618,null
1572055200,24947,32.8,null,79.367,null,1006.815,null,11.271,null,11.271,null
1572087600,24947,36.0,null,77.0,null,1008.958,null,28.899,null,29.539,null
1572105600,24947,35.367,null,82.666,null,1011.386,null,9.194,null,9.194,null
1572051600,24947,31.133,null,82.367,null,1006.797,null,13.017,null,13.017,null
1571760000,24947,36.966,null,76.8,null,1017.716,null,15.026,null,15.074,null
1571702400,24947,32.0,null,85.633,null,1022.844,null,7.023,null,7.023,null
1571713200,24947,33.0,null,82.416,null,1021.351,null,5.602,null,5.602,null
1571781600,24947,30.5,null,88.0,null,1016.59,null,5.71,null,5.71,null
1571752800,24947,36.0,null,76.0,null,1018.839,null,2.643,null,2.643,null
1571745600,24947,36.0,null,76.0,null,1019.899,null,4.216,null,4.216,null
1571706000,24947,32.166,null,84.5,null,1022.449,null,6.702,null,6.702,null
1571763600,24947,35.966,null,83.267,null,1017.889,null,21.22,null,21.223,null
1571709600,24947,33.0,null,83.367,null,1021.788,null,6.029,null,6.029,null
1571734800,24947,35.0,null,76.0,null,1020.933,null,8.111,null,8.111,null
1571720400,24947,32.466,null,79.633,null,1020.872,null,7.026,null,7.026,null
1571727600,24947,34.867,null,77.034,null,1020.841,null,13.876,null,13.876,null
1571716800,24947,33.0,null,81.5,null,1020.979,null,5.21,null,5.21,null
1571724000,24947,33.933,null,78.233,null,1020.842,null,15.237,null,15.237,null
1571731200,24947,34.367,null,76.8,null,1020.905,null,10.352,null,10.352,null
1571785200,24947,30.0,null,87.666,null,1015.976,null,3.773,null,3.773,null
1571749200,24947,36.0,null,75.966,null,1019.452,null,3.416,null,3.416,null
1571778000,24947,31.0,null,87.666,null,1017.066,null,12.332,null,12.332,null
1571756400,24947,36.0,null,75.667,null,1018.185,null,2.636,null,2.636,null
1571770800,24947,31.433,null,88.0,null,1017.566,null,36.053,null,48.445,null
1571742000,24947,35.567,null,76.0,null,1020.409,null,4.921,null,4.921,null
1571774400,24947,29.633,null,86.3,null,1017.253,null,40.994,null,52.69,null
1571738400,24947,35.0,null,76.0,null,1020.785,null,6.143,null,6.143,null
1571767200,24947,34.0,null,86.7,null,1017.823,null,27.472,null,28.683,null
1571349600,24947,30.166,null,89.0,null,993.962,null,4.485,null,4.485,null
1571299200,24947,37.0,null,77.0,null,997.593,null,8.966,null,8.966,null
1571317200,24947,36.0,null,78.0,null,994.763,null,1.803,null,1.803,null
1571328000,24947,36.733,null,79.334,null,994.31,null,9.989,null,9.989,null
1571313600,24947,36.0,null,78.0,null,995.55,null,2.367,null,2.367,null
1571310000,24947,36.0,null,78.0,null,996.215,null,3.171,null,3.171,null
1571353200,24947,30.633,null,88.7,null,993.675,null,2.659,null,2.659,null
1571338800,24947,34.034,null,88.233,null,993.977,null,7.946,null,7.946,null
1571295600,24947,37.133,null,77.0,null,997.738,null,11.469,null,11.469,null
1571342400,24947,31.441,null,87.975,null,993.863,null,19.204,null,20.291,null
1571292000,24947,37.334,null,76.1,null,997.802,null,10.746,null,10.746,null
1571306400,24947,36.834,null,77.633,null,996.673,null,4.681,null,4.681,null
1571346000,24947,31.7,null,89.0,null,993.99,null,5.775,null,5.775,null
1571277600,24947,36.5,null,77.0,null,999.376,null,15.761,null,15.761,null
